year,qtr,area_code,area_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
1990,A,FRD01,Boston -- Federal Reserve District,350860,5761332,145287035872,485,25218
1990,A,FRD02,New York -- Federal Reserve District,680822,11799244,329399211039,537,27917
1990,A,FRD03,Philadelphia -- Federal Reserve District,251457,4960014,118974448939,461,23987
1990,A,FRD04,Cleveland -- Federal Reserve District,340498,6712757,149817014208,429,22318
1990,A,FRD05,Richmond -- Federal Reserve District,528724,10519921,236908168344,433,22520
1990,A,FRD06,Atlanta -- Federal Reserve District,732976,13016697,273521970322,404,21013
1990,A,FRD07,Chicago -- Federal Reserve District,666303,13497064,324927480080,463,24074
1990,A,FRD08,St. Louis -- Federal Reserve District,286106,5004425,100252016442,385,20033
1990,A,FRD09,Minneapolis -- Federal Reserve District,214684,3210215,67534536569,405,21037
1990,A,FRD10,Kansas City -- Federal Reserve District,366510,5681570,118576866612,401,20870
1990,A,FRD11,Dallas -- Federal Reserve District,378127,7408072,165982096424,431,22406
1990,A,FRD12,San Francisco -- Federal Reserve District,1161446,20455172,503590680781,473,24619
1990,A,FRD99,Unknown -- Federal Reserve District,151891,1481005,39746768348,516,26838
1990,A,USDPV,Total U.S.,6110404,109507489,2574518293980,452,23510
1991,A,FRD01,Boston -- Federal Reserve District,344846,5454839,144418889074,509,26475
1991,A,FRD02,New York -- Federal Reserve District,690979,11359232,331919468872,562,29220
1991,A,FRD03,Philadelphia -- Federal Reserve District,263604,4837898,121335082974,482,25080
1991,A,FRD04,Cleveland -- Federal Reserve District,347564,6642514,153201620025,444,23064
1991,A,FRD05,Richmond -- Federal Reserve District,554998,10302096,242676315851,453,23556
1991,A,FRD06,Atlanta -- Federal Reserve District,766283,12914078,283534071945,422,21955
1991,A,FRD07,Chicago -- Federal Reserve District,687801,13387350,335224742003,482,25040
1991,A,FRD08,St. Louis -- Federal Reserve District,296294,4974534,103708468651,401,20848
1991,A,FRD09,Minneapolis -- Federal Reserve District,220193,3241773,70558864917,419,21766
1991,A,FRD10,Kansas City -- Federal Reserve District,380948,5751044,124132012137,415,21584
1991,A,FRD11,Dallas -- Federal Reserve District,411776,7494338,175520135105,450,23420
1991,A,FRD12,San Francisco -- Federal Reserve District,1294166,20015246,516316054142,496,25796
1991,A,FRD99,Unknown -- Federal Reserve District,156733,1349410,38864423662,554,28801
1991,A,USDPV,Total U.S.,6416185,107724351,2641410149358,472,24520
1992,A,FRD01,Boston -- Federal Reserve District,337793,5421113,151431659448,537,27934
1992,A,FRD02,New York -- Federal Reserve District,692668,11192643,351975113037,605,31447
1992,A,FRD03,Philadelphia -- Federal Reserve District,265566,4828458,127900040519,509,26489
1992,A,FRD04,Cleveland -- Federal Reserve District,361294,6689459,163728586225,471,24476
1992,A,FRD05,Richmond -- Federal Reserve District,565440,10396681,256629623964,475,24684
1992,A,FRD06,Atlanta -- Federal Reserve District,786540,13137973,304262591946,445,23159
1992,A,FRD07,Chicago -- Federal Reserve District,706176,13526330,356744417154,507,26374
1992,A,FRD08,St. Louis -- Federal Reserve District,300783,5064954,110926693507,421,21901
1992,A,FRD09,Minneapolis -- Federal Reserve District,224186,3329647,76302228729,441,22916
1992,A,FRD10,Kansas City -- Federal Reserve District,386011,5864781,132338274067,434,22565
1992,A,FRD11,Dallas -- Federal Reserve District,417171,7585236,187251145810,475,24686
1992,A,FRD12,San Francisco -- Federal Reserve District,1362057,19873930,540297362157,523,27186
1992,A,FRD99,Unknown -- Federal Reserve District,159344,1325735,40814958062,592,30787
1992,A,USDPV,Total U.S.,6565031,108236940,2800602694625,498,25875
1993,A,FRD01,Boston -- Federal Reserve District,340506,5511067,156962952729,548,28481
1993,A,FRD02,New York -- Federal Reserve District,697402,11248334,359641862237,615,31973
1993,A,FRD03,Philadelphia -- Federal Reserve District,266146,4875477,131264581748,518,26923
1993,A,FRD04,Cleveland -- Federal Reserve District,374748,6792151,169665121575,480,24980
1993,A,FRD05,Richmond -- Federal Reserve District,582508,10646367,268201921168,484,25192
1993,A,FRD06,Atlanta -- Federal Reserve District,808556,13628524,320214622151,452,23496
1993,A,FRD07,Chicago -- Federal Reserve District,724502,13821462,370728299391,516,26823
1993,A,FRD08,St. Louis -- Federal Reserve District,307148,5209356,115945045783,428,22257
1993,A,FRD09,Minneapolis -- Federal Reserve District,226701,3422911,79954526952,449,23359
1993,A,FRD10,Kansas City -- Federal Reserve District,394680,6024409,139224815553,444,23110
1993,A,FRD11,Dallas -- Federal Reserve District,434144,7804809,196028100652,483,25116
1993,A,FRD12,San Francisco -- Federal Reserve District,1404894,19973727,550837930304,530,27578
1993,A,FRD99,Unknown -- Federal Reserve District,163964,1375122,43272694225,605,31468
1993,A,USDPV,Total U.S.,6725899,110333716,2901942474468,506,26302
1994,A,FRD01,Boston -- Federal Reserve District,349199,5628998,163337533530,558,29017
1994,A,FRD02,New York -- Federal Reserve District,706209,11362948,369467529473,625,32515
1994,A,FRD03,Philadelphia -- Federal Reserve District,266741,4945230,136621624024,531,27627
1994,A,FRD04,Cleveland -- Federal Reserve District,381394,6970216,179416802832,495,25740
1994,A,FRD05,Richmond -- Federal Reserve District,600821,10938186,283698214152,499,25936
1994,A,FRD06,Atlanta -- Federal Reserve District,833418,14142415,340068112860,462,24046
1994,A,FRD07,Chicago -- Federal Reserve District,740038,14240998,395139791354,534,27747
1994,A,FRD08,St. Louis -- Federal Reserve District,314792,5411061,123802813252,440,22880
1994,A,FRD09,Minneapolis -- Federal Reserve District,233852,3546630,85056836651,461,23982
1994,A,FRD10,Kansas City -- Federal Reserve District,405592,6239608,147738656639,455,23678
1994,A,FRD11,Dallas -- Federal Reserve District,444762,8077841,206474317849,492,25561
1994,A,FRD12,San Francisco -- Federal Reserve District,1408995,20486650,573476903714,538,27993
1994,A,FRD99,Unknown -- Federal Reserve District,172958,1460278,46595374247,614,31909
1994,A,USDPV,Total U.S.,6858770,113451059,3050894510577,517,26892
1995,A,FRD01,Boston -- Federal Reserve District,356076,5743192,172725652316,578,30075
1995,A,FRD02,New York -- Federal Reserve District,718685,11457985,388393163389,652,33897
1995,A,FRD03,Philadelphia -- Federal Reserve District,271237,5006307,143231401718,550,28610
1995,A,FRD04,Cleveland -- Federal Reserve District,378377,7141188,188902483259,509,26453
1995,A,FRD05,Richmond -- Federal Reserve District,615186,11176894,297966869641,513,26659
1995,A,FRD06,Atlanta -- Federal Reserve District,853429,14579809,362918329020,479,24892
1995,A,FRD07,Chicago -- Federal Reserve District,761638,14628096,419056067433,551,28647
1995,A,FRD08,St. Louis -- Federal Reserve District,321546,5543158,133222822810,462,24034
1995,A,FRD09,Minneapolis -- Federal Reserve District,238044,3653453,90341175143,476,24728
1995,A,FRD10,Kansas City -- Federal Reserve District,415119,6422542,156966296460,470,24440
1995,A,FRD11,Dallas -- Federal Reserve District,461002,8360203,221425453906,509,26486
1995,A,FRD12,San Francisco -- Federal Reserve District,1497830,21033801,606432575350,554,28831
